Strain,Strain_Percent,Elastic_Energy_J
0.1,10.0%,0.013487337239390516
0.2,20.0%,0.053949348957562065
0.30000000000000004,30.0%,0.12138603515451461
0.4,40.0%,0.21579739583024826
0.5,50.0%,0.3371834309847627
0.6,60.0%,0.4855441406180585
0.7000000000000001,70.0%,0.660879524730135
0.8,80.0%,0.863189583320993
0.9,90.0%,1.0924743163906305
1.0,100.0%,1.3487337239390509
